name,Internal Reference,Sales Price,categ_id/name,description,type,detailed_type,qty_available
Blueberry Brewers Best Natural flavoring 4oz,579309M,5.99,Homebrew,,product,product,1
"Bonide Captain Jack S Neem Max, 32 oz Ready-to-Use Spray Cold Pressed Neem Oil, Multi-Purpose Insecticide, Fungicide",1723391,14.99,Homebrew,,product,product,2
Bonide Captain Jack’s Dead Bug Dust 1.5 lb,N995855,9.99,Homebrew,,product,product,0
Bonide Captain Jack's Deadbug Brew 32oz,940157G,39.99,Homebrew,,product,product,0
Bonide Captain Jack's Deadbug Brew Ready-to-Use Spray,P100688,11.99,Homebrew,,product,product,6
Bottle Capper,825392012833,19.99,Homebrew,,product,product,1
"Bottle Caps, Crown 144ct",1626954,4.99,Homebrew,,product,product,4
"Bottle Caps, Crown 144ct",888690042032,4.99,Homebrew,,product,product,0
"Bottle Caps, Crown 144ct",888690042131,4.99,Homebrew,,product,product,2
"Bottle Caps, Crown 144ct",888690042230,4.99,Homebrew,,product,product,2
"Bottle Caps, Crown 144ct",888690042278,4.99,Homebrew,,product,product,0
"Bottle Caps, Crown 144ct",888690042438,4.99,Homebrew,,product,product,0
"Bottle Caps, Crown 144ct",888690042476,4.99,Homebrew,,product,product,0
"Bottle Caps, Crown 144ct",888690042575,4.99,Homebrew,,product,product,0
"Bottle Caps, Crown 144ct",888690042674,4.99,Homebrew,,product,product,0
"Bottle Caps, Crown 144ct",888690042704,4.99,Homebrew,,product,product,4
"Bottle Caps, Crown 144ct",888690042773,4.99,Homebrew,,product,product,0
"Bottle Caps, Crown 144ct",888690042933,4.99,Homebrew,,product,product,0
Bottle Filler,1316128,3.99,Homebrew,,product,product,5
Bottle Seal Wax Beads,V052137,15.95,Homebrew,,product,product,3
Bottle Seal Wax Beads,Y140067,15.95,Homebrew,,product,product,1
"Bottle, Swing top, Amber 16 oz",843200118324,34.99,Homebrew,,product,product,0
"Bottle, Swing top, Clear 16 oz",6351846,3.29,Homebrew,,product,product,0
"Bottle, Swing top, Clear 16 oz",8 88690 05243 7,34.99,Homebrew,,product,product,0
"Bottle, Swing-top, 34 oz Clear",8 88690 05225 3,45.99,Homebrew,,product,product,0
"Bottle, Swing-top, 34 oz Clear",843200118409,3.99,Homebrew,,product,product,0
"Bottle, Swing-top, 34oz Amber",888690052277,47.99,Homebrew,,product,product,0
"Bottle, Swing-top, 34oz Amber",S332981,4.99,Homebrew,,product,product,12
Brewer S Best Natural Beer and Wine Fruit Flavoring (Espresso Bean),419646N,5.99,Homebrew,,product,product,0
Brewer S Best Natural Beer and Wine Fruit Flavoring (Mango),344806V,5.99,Homebrew,,product,product,2
Brewer's BEAST homebrewing equipment kit,7190932,179.99,Homebrew,,product,product,0
Brewer’s Best 6.5 Gallon Bottling Bucket,888690051003,14.99,Homebrew,,product,product,0
Brewer’s Best 6.5 Gallon Fermenting Bucket,888690051041,13.99,Homebrew,,product,product,0
Brewer’s Best 7.9 Gallon Bottling Bucket,888690051164,22.99,Homebrew,,product,product,8
Brewer’s Best 7.9 Gallon Fermenting Bucket,888690051157,19.99,Homebrew,,product,product,4
Brewer’s Best Bitter Orange Peel 1 oz,888690024038,2.99,Homebrew,,product,product,0
